Fiscal Year: All fiscal years
Department Division: All department divisions
Account Category: All account categories
Operating Unit: Economic Development
Budget Amount: 9620787
Id,FiscalYear,OperatingUnit,AccountCategory,DepartmentDivision,BudgetAmount
26618,FY17,Economic Development,Salaries,Citywide Development Division,1327582
2591,FY15,Economic Development,Energy and Fuel,Citywide Development Division,1155371
2592,FY15,Economic Development,"Charges, Fees, & Services Accounts",Citywide Development Division,1155371
15763,FY16,Economic Development,Salaries,Citywide Development Division,461207
2583,FY15,Economic Development,Salaries,Citywide Development Division,452837
2516,FY15,Economic Development,Salaries,Downtown Development Division,410525
15690,FY16,Economic Development,Salaries,Downtown Development Division,390911
15768,FY16,Economic Development,"Charges, Fees, & Services Accounts",Citywide Development Division,380371
15769,FY16,Economic Development,Energy and Fuel,Citywide Development Division,380371
37248,FY18,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,357658
2534,FY15,Economic Development,"Charges, Fees, & Services Accounts",Downtown Development Division,226880
15689,FY16,Economic Development,"Charges, Fees, & Services Accounts",Downtown Development Division,226880
26546,FY17,Economic Development,"Charges, Fees, & Services Accounts",Downtown Development Division,226880
26621,FY17,Economic Development,Employee Benefits,Citywide Development Division,218732
2511,FY15,Economic Development,Salaries,Economic Development Administration Division,203206
15677,FY16,Economic Development,Salaries,Economic Development Administration Division,195161
26657,FY17,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,180873
37318,FY18,Economic Development,"Charges, Fees, & Services Accounts",Citywide Development Division,158208
26654,FY17,Economic Development,"Charges, Fees, & Services Accounts",Citywide Development Division,152000
26617,FY17,Economic Development,Service & Supply Adjustments,Citywide Development Division,150000
37316,FY18,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,125000
26620,FY17,Economic Development,Employee Benefits,Citywide Development Division,121396
2580,FY15,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,110577
15738,FY16,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,110577
26630,FY17,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,110577
26653,FY17,Economic Development,Intergovernmental Accounts,Citywide Development Division,107000
2579,FY15,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,101220
15739,FY16,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,101220
2510,FY15,Economic Development,Purchased Prof and Tech Svcs,Economic Development Administration Division,97688
15687,FY16,Economic Development,Purchased Prof and Tech Svcs,Economic Development Administration Division,97688
26545,FY17,Economic Development,Purchased Prof and Tech Svcs,Economic Development Administration Division,97688
26625,FY17,Economic Development,Employer Paid Taxes,Citywide Development Division,76285
26557,FY17,Economic Development,Purchased Property Services,Downtown Development Division,74880
37250,FY18,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,73530
15766,FY16,Economic Development,Employee Benefits,Citywide Development Division,71630
26631,FY17,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,71220
2571,FY15,Economic Development,Employee Benefits,Citywide Development Division,65295
2512,FY15,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,63000
15702,FY16,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,63000
15694,FY16,Economic Development,Employee Benefits,Downtown Development Division,60712
26616,FY17,Economic Development,Purchased Prof and Tech Svcs,Citywide Development Division,60000
2541,FY15,Economic Development,Employee Benefits,Downtown Development Division,59194
2550,FY15,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,58000
15704,FY16,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,58000
2577,FY15,Economic Development,Employee Benefits,Citywide Development Division,55001
26623,FY17,Economic Development,Employee Benefits,Citywide Development Division,51896
15718,FY16,Economic Development,Purchased Property Services,Downtown Development Division,51380
2588,FY15,Economic Development,Interfund Reimbursement,Citywide Development Division,50000
2589,FY15,Economic Development,Interfund Reimbursement,Citywide Development Division,50000
15765,FY16,Economic Development,Employee Benefits,Citywide Development Division,48722
37258,FY18,Economic Development,Other Purchased Services,Citywide Development Division,45000
2545,FY15,Economic Development,Employee Benefits,Downtown Development Division,39149
15693,FY16,Economic Development,Employee Benefits,Downtown Development Division,37848
26551,FY17,Economic Development,Purchased Prof and Tech Svcs,Downtown Development Division,37310
26544,FY17,Economic Development,Service & Supply Adjustments,Economic Development Administration Division,34414
